MedCodeId	Term	Observations
197761014	Type 2 diabetes mellitus	30000000
1658901000000118	Type II diabetic dietary review	2000000
280571000006116	Non-insulin dependent diabetes mellitus	800000
493774016	Type II diabetes mellitus	700000
914391000006116	Insulin treated Type 2 diabetes mellitus	600000
84471000006119	Type 2 diabetes mellitus	300000
479571000000110	Diabetes type 2 review	200000
73466011	Non-insulin dependent diabetes mellitus	100000
616511000006110	"Diabetes mellitus, adult onset, no mention of complication"	80000
928561000006118	Persistent microalbuminuria associated with type 2 diabetes mellitus	70000
840951000006119	Insulin treated Type 2 diabetes mellitus	70000
84841000006113	Type II diabetes mellitus	60000
493773010	NIDDM - Non-insulin dependent diabetes mellitus	40000
2288061000000111	Type II diabetes mellitus in remission	30000
928541000006117	Persistent proteinuria associated with type 2 diabetes mellitus	30000
223291000000111	Maturity onset diabetes	20000
292590011	Type II diabetes mellitus poorly controlled	20000
281171000006119	Type II diabetes mellitus uncontrolled	20000
2288071000000116	Type 2 diabetes mellitus in remission	10000
457329019	Type 2 diabetes mellitus without complication	10000
1665721000000112	Type 2 diabetic dietary review	10000
14083811000006118	Persistent microalbuminuria due to type 2 diabetes mellitus	7000
914261000006119	Diabetes type 2 with nephropathy	7000
914151000006112	Retinopathy with type 2 diabetes mellitus	6000
457328010	Non-insulin-dependent diabetes mellitus without complication	5000
299621000000117	Gastroparesis with type 2 diabetes mellitus	4000
7480661000006114	H/O diabetes mellitus type 2	4000
292577016	Type 2 diabetes mellitus with multiple complications	3000
914031000006118	Renal disorder associated with type II diabetes mellitus	3000
928581000006111	Ketoacidosis in type 2 diabetes mellitus	3000
928571000006113	Type II diabetes mellitus with persistent microalbuminuria	2000
1223147012	Insulin treated Type II diabetes mellitus	2000
841351000006110	Insulin treated Type II diabetes mellitus	2000
616481000006119	"Diabetes mellitus, adult onset, + neurological manifestation"	2000
14084041000006114	Persistent proteinuria due to type 2 diabetes mellitus	2000
8027521000006110	Microalbuminuria due to type 2 diabetes mellitus	2000
1488898011	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	1000
938321000006116	Exudative maculopathy associated with type 2 diabetes mellitus	1000
914241000006118	Polyneuropathy due to type 2 diabetes mellitus	1000
292579018	Type 2 diabetes mellitus with ulcer	1000
1223148019	Insulin treated non-insulin dependent diabetes mellitus	1000
457330012	Type II diabetes mellitus without complication	1000
616551000006111	"Diabetes mellitus, adult onset, with renal manifestation"	1000
914071000006115	Neurologic disorder associated with type 2 diabetes mellitus	1000
616491000006116	"Diabetes mellitus, adult onset, + ophthalmic manifestation"	1000
914051000006113	Disorder of eye with type 2 diabetes mellitus	1000
84481000006116	Type 2 diabetes mellitus - poor control	1000
459313016	Type 2 diabetes mellitus with neuropathic arthropathy	900
84921000006110	Renal disorder due to type 2 diabetes mellitus	800
587521000006111	Non-insulin-dependent diabetes mellitus with renal comps	800
616531000006116	"Diabetes mellitus, adult onset, with ketoacidosis"	800
84851000006110	Type II diabetes mellitus - poor control	800
84551000006113	Type 2 diabetes mellitus with nephropathy	700
616501000006112	Disorder due to type 2 diabetes mellitus	700
641581000006115	Non-insulin-dependent diabetes mellitus with retinopathy	700
616581000006115	"Diabetes mellitus, adult, + peripheral circulatory disorder"	600
280591000006115	Non-insulin-dependent diabetes mellitus with neuro comps	600
928551000006115	Type II diabetes mellitus with persistent proteinuria	600
587111000006111	Non-insulin-dependent diabetes mellitus with ophthalm comps	600
850691000006118	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	500
914301000006111	Type 2 diabetes mellitus with diabetic cataract	500
8012091000006113	Type II diabetes on diet only	500
674961000006118	Peripheral circulatory disorder associated with type 2 diabetes mellitus	400
1667921000000117	Type II diabetes mellitus with gastroparesis	400
3209441000006114	Diabetes mellitus type 2	400
8043301000006116	Hyperlipidaemia due to type 2 diabetes mellitus	300
914221000006113	Type 2 diabetes mellitus with mononeuropathy	300
292583018	Type 2 diabetes mellitus with gangrene	300
