code_type	code_group	code	term
ICD	comorb_MI_ICD	I21	Acute myocardial infarction
ICD	comorb_MI_ICD	I21.0	Acute transmural myocardial infarction of anterior wall
ICD	comorb_MI_ICD	I21.1	Acute transmural myocardial infarction of inferior wall
ICD	comorb_MI_ICD	I21.2	Acute transmural myocardial infarction of other sites
ICD	comorb_MI_ICD	I21.3	Acute transmural myocardial infarction of unspecified site
ICD	comorb_MI_ICD	I21.4	Acute subendocardial myocardial infarction
ICD	comorb_MI_ICD	I21.9	"Acute myocardial infarction, unspecified"
ICD	comorb_MI_ICD	I22	Subsequent myocardial infarction
ICD	comorb_MI_ICD	I22.0	Subsequent myocardial infarction of anterior wall
ICD	comorb_MI_ICD	I22.1	Subsequent myocardial infarction of inferior wall
ICD	comorb_MI_ICD	I22.8	Subsequent myocardial infarction of other sites
ICD	comorb_MI_ICD	I22.9	Subsequent myocardial infarction of unspecified site
ICD	comorb_MI_ICD	I23	Certain current complications following acute myocardial infarction
ICD	comorb_MI_ICD	I23.0	Haemopericardium as current complication following acute myocardial infarction
ICD	comorb_MI_ICD	I23.1	Atrial septal defect as current complication following acute myocardial infarction
ICD	comorb_MI_ICD	I23.2	Ventricular septal defect as current complication following acute myocardial infarction
ICD	comorb_MI_ICD	I23.3	Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
ICD	comorb_MI_ICD	I23.4	Rupture of chordae tendineae as current complication following acute myocardial infarction
ICD	comorb_MI_ICD	I23.5	Rupture of papillary muscle as current complication following acute myocardial infarction
ICD	comorb_MI_ICD	I23.6	"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
ICD	comorb_MI_ICD	I23.8	Other current complications following acute myocardial infarction
