code_type	code_group	code	term
medcode	comorb_MI_med	94884017	Acute myocardial infarction
medcode	comorb_MI_med	1780501013	Acute non-ST segment elevation myocardial infarction
medcode	comorb_MI_med	219531000000117	MI - acute myocardial infarction
medcode	comorb_MI_med	1488382011	Acute coronary syndrome
medcode	comorb_MI_med	1780491019	Acute ST segment elevation myocardial infarction
medcode	comorb_MI_med	299714019	Acute myocardial infarction of inferior wall
medcode	comorb_MI_med	299721019	Acute myocardial infarction NOS
medcode	comorb_MI_med	299709018	Anterior myocardial infarction NOS
medcode	comorb_MI_med	455641000006112	Acute anterolateral myocardial infarction
medcode	comorb_MI_med	457531000006110	Acute inferolateral myocardial infarction
medcode	comorb_MI_med	116992017	Acute subendocardial infarction
medcode	comorb_MI_med	37443015	Heart attack
medcode	comorb_MI_med	299707016	Acute anterior myocardial infarction
medcode	comorb_MI_med	2160096015	Coronary artery bypass graft occlusion
medcode	comorb_MI_med	884151000006119	Myocardial Infarction
medcode	comorb_MI_med	2855301000006112	Myocardial infarction
medcode	comorb_MI_med	256452010	ECG: myocardial infarction
medcode	comorb_MI_med	455651000006114	Acute anteroseptal myocardial infarction
medcode	comorb_MI_med	299710011	Acute posterior myocardial infarction
medcode	comorb_MI_med	1234005010	Acute inferoposterior infarction
medcode	comorb_MI_med	450322013	Acute non-Q wave infarction
medcode	comorb_MI_med	299711010	Acute lateral myocardial infarction
medcode	comorb_MI_med	350376014	Silent myocardial infarction
medcode	comorb_MI_med	1786197015	Coronary thrombosis
medcode	comorb_MI_med	13930051000006117	Dressler's syndrome
medcode	comorb_MI_med	299718016	Other acute myocardial infarction
medcode	comorb_MI_med	219521000000119	Attack - heart
medcode	comorb_MI_med	6651391000006114	NSTEMI - Non-ST segment elevation MI
medcode	comorb_MI_med	256460011	ECG: myocardial infarct NOS
medcode	comorb_MI_med	208365015	Postoperative myocardial infarction
medcode	comorb_MI_med	299808017	Subsequent myocardial infarction
medcode	comorb_MI_med	1234306015	Acute septal infarction
medcode	comorb_MI_med	905351000006113	[RFC] Myocardial infarction (MI)
medcode	comorb_MI_med	7571581000006113	Acute anterior ST segment elevation myocardial infarction
medcode	comorb_MI_med	299719012	Acute atrial infarction
medcode	comorb_MI_med	447324018	Acute Q-wave infarct
medcode	comorb_MI_med	460681000006116	Acute transmural myocardial infarction of unspecif site
medcode	comorb_MI_med	884141000006116	Coronary thrombosis
medcode	comorb_MI_med	299720018	Other acute myocardial infarction NOS
medcode	comorb_MI_med	6651221000006117	STEMI - ST elevation myocardial infarction
medcode	comorb_MI_med	299712015	True posterior myocardial infarction
medcode	comorb_MI_med	7572321000006112	Acute ST segment elevation myocardial infarction of inferior wall
medcode	comorb_MI_med	1786198013	Thrombosis - coronary
medcode	comorb_MI_med	216351000006118	Post infarction pericarditis
medcode	comorb_MI_med	109915012	Post-myocardial infarction syndrome
medcode	comorb_MI_med	299708014	Acute anteroapical infarction
medcode	comorb_MI_med	3381601000006117	Acute myocardial infarction of anterior wall
medcode	comorb_MI_med	967931000006114	Acute myocardial infarction of posterolateral wall
medcode	comorb_MI_med	6546111000006118	ACS - Acute coronary syndrome
medcode	comorb_MI_med	7571601000006115	Acute STEMI (ST elevation myocardial infarction) of anterior wall
medcode	comorb_MI_med	7572331000006110	Acute STEMI (ST elevation myocardial infarction) of inferior wall
medcode	comorb_MI_med	537751000006115	Cardiac rupture after acute myocardial infarction
