code_type	code_group	code	term
ICD	comorb_RF_ICD	N18.5	"Chronic kidney disease, stage 5"
ICD	comorb_RF_ICD	T82.4	Mechanical complication of vascular dialysis catheter
ICD	comorb_RF_ICD	T86.1	Kidney transplant failure and rejection
ICD	comorb_RF_ICD	Z49	Care involving dialysis
ICD	comorb_RF_ICD	Z49.0	Preparatory care for dialysis
ICD	comorb_RF_ICD	Z49.1	Extracorporeal dialysis
ICD	comorb_RF_ICD	Z94.0	Kidney transplant status
ICD	comorb_RF_ICD	Z99.2	Dependence on renal dialysis//on dialysis treatment
ICD	comorb_RF_ICD	I77.0	Arteriovenous fistula
ICD	comorb_RF_ICD	N16.5	Renal tubulo-interstitial disorders in transplant rejection
