code_type	code_group	code	term
medcode	comorb_RF_med	304111000000114	Chronic kidney disease stage 5
medcode	comorb_RF_med	501594013	Transplantation of kidney
medcode	comorb_RF_med	215521000000116	End stage renal disease
medcode	comorb_RF_med	460644012	History of renal transplant
medcode	comorb_RF_med	90471000006113	Live donor renal transplant
medcode	comorb_RF_med	641471000006117	End stage renal failure
medcode	comorb_RF_med	3245871000006111	ESRD - End stage renal disease
medcode	comorb_RF_med	596321000000110	Chronic kidney disease stage 5 with proteinuria
medcode	comorb_RF_med	117168016	Renal transplant
medcode	comorb_RF_med	272327014	Transplantation of kidney NOS
medcode	comorb_RF_med	641491000006116	End-stage renal disease
medcode	comorb_RF_med	596401000000111	Chronic kidney disease stage 5 without proteinuria
medcode	comorb_RF_med	618511000000119	CKD stage 5 with proteinuria
medcode	comorb_RF_med	2767154014	Chronic kidney disease stage 5
medcode	comorb_RF_med	1940551000006115	CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3
medcode	comorb_RF_med	3245851000006118	ESRF - End stage renal failure
medcode	comorb_RF_med	324973015	Kidney transplant failure and rejection
medcode	comorb_RF_med	618521000000113	CKD stage 5 without proteinuria
medcode	comorb_RF_med	1940541000006117	CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2
medcode	comorb_RF_med	3647021000006114	Transplant of kidney
medcode	comorb_RF_med	1940531000006110	CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1
medcode	comorb_RF_med	354610013	Renal transplant rejection
medcode	comorb_RF_med	354615015	Acute rejection of renal transplant
medcode	comorb_RF_med	372621000000114	Allotransplantation of kidney from beating heart cadaver
medcode	comorb_RF_med	7714891000006118	Chronic kidney disease stage 5 on dialysis
medcode	comorb_RF_med	12704471000006116	End-stage renal disease
medcode	comorb_RF_med	353974015	Xenograft renal transplant
medcode	comorb_RF_med	399381000000115	Allotransplantation of kidney from cadaver NEC
medcode	comorb_RF_med	1549841000006116	Allotransplantation of kidney from non-beating heart cadaver
medcode	comorb_RF_med	354619014	Chronic rejection of renal transplant
medcode	comorb_RF_med	7174851000006111	CKD stage 5
medcode	comorb_RF_med	272326017	Other specified transplantation of kidney
