code_type	code_group	code	term
medcode	comorb_amp_med	1209883019	Amputation of toe
medcode	comorb_amp_med	480201000006112	Amputation below-knee
medcode	comorb_amp_med	480191000006114	Above knee amputation
medcode	comorb_amp_med	1785726017	Amputation of leg
medcode	comorb_amp_med	480221000006119	Amputation of hallux
medcode	comorb_amp_med	451402017	O/E - Amputated right below knee
medcode	comorb_amp_med	480301000006116	Amputation of the foot
medcode	comorb_amp_med	451403010	O/E - Amputated left below knee
medcode	comorb_amp_med	3796541000006112	Amputation above-knee
medcode	comorb_amp_med	2534174016	Amputation of toe NOS
medcode	comorb_amp_med	451401012	O/E - Amputated left above knee
medcode	comorb_amp_med	451400013	O/E - Amputated right above knee
medcode	comorb_amp_med	451398014	O/E - Amputated right leg
medcode	comorb_amp_med	1229546017	Amputation great toe
medcode	comorb_amp_med	278492016	Amputation lesser toe
medcode	comorb_amp_med	278490012	Amputation of phalanx of toe
medcode	comorb_amp_med	877201000006113	Amputation of toes
medcode	comorb_amp_med	394609011	Amputation through metatarsal bones
medcode	comorb_amp_med	877141000006118	Below knee amputation
medcode	comorb_amp_med	251861017	H/O: lower limb amputation
medcode	comorb_amp_med	451399018	O/E - Amputated left leg
medcode	comorb_amp_med	451414013	O/E - Amputated left toe
medcode	comorb_amp_med	451413019	O/E - Amputated right toe
medcode	comorb_amp_med	278497010	Other specified amputation of toe
medcode	comorb_amp_med	480501000006114	Through knee amputation
medcode	comorb_amp_med	504195017	Above knee amputation
medcode	comorb_amp_med	278464014	Amputation of leg NOS
medcode	comorb_amp_med	394601014	Hindquarter amputation
medcode	comorb_amp_med	192101000006118	Ray transmetatarsal amputation
medcode	comorb_amp_med	92081000006118	Traumatic amputation of leg(s)
medcode	comorb_amp_med	92161000006110	Traumatic amputation of toe(s)
medcode	comorb_amp_med	278695013	Amputation of supernumerary toe
medcode	comorb_amp_med	527701000006116	Burgess amputation of leg below knee
medcode	comorb_amp_med	278483019	Other specified amputation of foot
medcode	comorb_amp_med	394610018	Amputation of foot NOS
medcode	comorb_amp_med	451407011	O/E - Amputated left forefoot
medcode	comorb_amp_med	359023016	Terminalisation of lesser toe
medcode	comorb_amp_med	6582081000006116	Amputation of lower limb
medcode	comorb_amp_med	451406019	O/E - Amputated right forefoot
medcode	comorb_amp_med	220751000000118	Syme through ankle amputation
medcode	comorb_amp_med	877091000006114	Amputation - lower limb
medcode	comorb_amp_med	158784014	Traumatic amputation of foot
medcode	comorb_amp_med	13922871000006116	Amputated left lower limb below knee
medcode	comorb_amp_med	3935051000006114	Amputation of leg through tibia and fibula
medcode	comorb_amp_med	278463015	Other specified amputation of leg
medcode	comorb_amp_med	359020018	Terminalisation of hallux
medcode	comorb_amp_med	325478013	[X]Traumatic amputation of two or more toes
medcode	comorb_amp_med	13922831000006119	Amputated left lower limb
medcode	comorb_amp_med	13922851000006114	Amputated left lower limb above knee
medcode	comorb_amp_med	13924491000006110	Amputated right lower limb
medcode	comorb_amp_med	13924531000006110	Amputated right lower limb above knee
medcode	comorb_amp_med	13924511000006116	Amputated right lower limb below knee
medcode	comorb_amp_med	13527471000006110	Amputation of left forefoot
medcode	comorb_amp_med	480361000006115	Amputation of leg through thigh
medcode	comorb_amp_med	7842501000006112	Amputation of right foot
medcode	comorb_amp_med	224191000000115	Amputation through ankle
medcode	comorb_amp_med	107381000006112	Tarsometatarsal amputation
medcode	comorb_amp_med	325462011	Traumatic amputation of lower extremity
medcode	comorb_amp_med	321779012	"Traumatic amputation, greater toe"
medcode	comorb_amp_med	92411000006117	"Traumatic amputation, leg"
medcode	comorb_amp_med	321781014	"Traumatic amputation, multiple toes"
medcode	comorb_amp_med	321797016	"Traumatic amputation, through knee"
medcode	comorb_amp_med	325479017	[X]Traumatic amputation of other parts of foot
medcode	comorb_amp_med	5869491000006119	Amputated toe
medcode	comorb_amp_med	7842491000006116	Amputation of left foot
medcode	comorb_amp_med	897291000006113	Traumatic amputation - toe
medcode	comorb_amp_med	4063391000006115	Traumatic amputation of toe
medcode	comorb_amp_med	321783012	Traumatic amputation of toe(s) NOS
medcode	comorb_amp_med	92971000006117	Bilateral traumatic amputation of legs at any level without complication
medcode	comorb_amp_med	897311000006112	Traumatic amputation - leg
medcode	comorb_amp_med	321778016	"Traumatic amputation, lesser toe"
medcode	comorb_amp_med	86411000006119	"Traumatic unilat amputation, above knee without complication"
medcode	comorb_amp_med	877181000006112	Amputation foot: mid-tarsal
medcode	comorb_amp_med	7847231000006116	Amputation of right hallux
medcode	comorb_amp_med	552571000006118	Chopart midtarsal amputation
medcode	comorb_amp_med	5136971000006119	Partial amputation of lesser toe
medcode	comorb_amp_med	321807016	Traumatic amputation of leg NOS
medcode	comorb_amp_med	13527451000006117	Amputation of right forefoot
medcode	comorb_amp_med	805681000006117	Gordon - Taylor hindquarter amputation
