code_type	code_group	code	term
ICD	comorb_stroke_ICD	I60	Subarachnoid haemorrhage
ICD	comorb_stroke_ICD	I60.0	Subarachnoid haemorrhage from carotid siphon and bifurcation
ICD	comorb_stroke_ICD	I60.1	Subarachnoid haemorrhage from middle cerebral artery
ICD	comorb_stroke_ICD	I60.2	Subarachnoid haemorrhage from anterior communicating artery
ICD	comorb_stroke_ICD	I60.3	Subarachnoid haemorrhage from posterior communicating artery
ICD	comorb_stroke_ICD	I60.4	Subarachnoid haemorrhage from basilar artery
ICD	comorb_stroke_ICD	I60.5	Subarachnoid haemorrhage from vertebral artery
ICD	comorb_stroke_ICD	I60.6	Subarachnoid haemorrhage from other intracranial arteries
ICD	comorb_stroke_ICD	I60.7	"Subarachnoid haemorrhage from intracranial artery, unspecified"
ICD	comorb_stroke_ICD	I60.8	Other subarachnoid haemorrhage
ICD	comorb_stroke_ICD	I60.9	"Subarachnoid haemorrhage, unspecified"
ICD	comorb_stroke_ICD	I61	Intracerebral haemorrhage
ICD	comorb_stroke_ICD	I61.0	"Intracerebral haemorrhage in hemisphere, subcortical"
ICD	comorb_stroke_ICD	I61.1	"Intracerebral haemorrhage in hemisphere, cortical"
ICD	comorb_stroke_ICD	I61.2	"Intracerebral haemorrhage in hemisphere, unspecified"
ICD	comorb_stroke_ICD	I61.3	Intracerebral haemorrhage in brain stem
ICD	comorb_stroke_ICD	I61.4	Intracerebral haemorrhage in cerebellum
ICD	comorb_stroke_ICD	I61.5	"Intracerebral haemorrhage, intraventricular"
ICD	comorb_stroke_ICD	I61.6	"Intracerebral haemorrhage, multiple localized"
ICD	comorb_stroke_ICD	I61.8	Other intracerebral haemorrhage
ICD	comorb_stroke_ICD	I61.9	"Intracerebral haemorrhage, unspecified"
ICD	comorb_stroke_ICD	I62	Other nontraumatic intracranial haemorrhage
ICD	comorb_stroke_ICD	I62.0	Nontraumatic subdural haemorrhage
ICD	comorb_stroke_ICD	I62.1	Nontraumatic extradural haemorrhage
ICD	comorb_stroke_ICD	I62.9	"Intracranial haemorrhage (nontraumatic), unspecified"
ICD	comorb_stroke_ICD	I63	Cerebral infarction
ICD	comorb_stroke_ICD	I63.0	Cerebral infarction due to thrombosis of precerebral arteries
ICD	comorb_stroke_ICD	I63.1	Cerebral infarction due to embolism of precerebral arteries
ICD	comorb_stroke_ICD	I63.2	Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
ICD	comorb_stroke_ICD	I63.3	Cerebral infarction due to thrombosis of cerebral arteries
ICD	comorb_stroke_ICD	I63.4	Cerebral infarction due to embolism of cerebral arteries
ICD	comorb_stroke_ICD	I63.5	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
ICD	comorb_stroke_ICD	I63.6	"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
ICD	comorb_stroke_ICD	I63.8	Other cerebral infarction
ICD	comorb_stroke_ICD	I63.9	"Cerebral infarction, unspecified"
ICD	comorb_stroke_ICD	I64	"Stroke, not specified as haemorrhage or infarction"
