code_type	code_group	code	term
medcode	comorb_stroke_med	405339016	Cerebrovascular accident
medcode	comorb_stroke_med	605501000006117	CVA unspecified
medcode	comorb_stroke_med	395780010	Cerebral infarction
medcode	comorb_stroke_med	605491000006113	CVA - Cerebrovascular accident
medcode	comorb_stroke_med	1222398015	Cerebral arterial occlusion
medcode	comorb_stroke_med	605461000006117	CVA - cerebrovascular accident due to cerebral artery occlusion
medcode	comorb_stroke_med	122401000006115	Stroke unspecified
medcode	comorb_stroke_med	744901000006114	Intracerebral haemorrhage (ICH)
medcode	comorb_stroke_med	300370010	Left sided CVA
medcode	comorb_stroke_med	5010981000006119	Stroke
medcode	comorb_stroke_med	300371014	Right sided CVA
medcode	comorb_stroke_med	497559016	Arteriosclerotic dementia
medcode	comorb_stroke_med	605471000006112	Cerebral hemorrhage
medcode	comorb_stroke_med	158118014	Cerebellar infarction
medcode	comorb_stroke_med	451133011	Left sided cerebral infarction
medcode	comorb_stroke_med	696161000006115	Multi-infarct dementia
medcode	comorb_stroke_med	122371000006118	Cerebral haemorrhage
medcode	comorb_stroke_med	118689010	Cerebral thrombosis
medcode	comorb_stroke_med	451134017	Right sided cerebral infarction
medcode	comorb_stroke_med	122361000006113	Stroke due to cerebral arterial occlusion
medcode	comorb_stroke_med	908801000006114	[RFC] Stroke
medcode	comorb_stroke_med	218511000000117	Infarction - cerebral
medcode	comorb_stroke_med	299342019	Lacunar infarction
medcode	comorb_stroke_med	399031000006111	[X]Multi-infarct dementia
medcode	comorb_stroke_med	502878012	Cerebellar haemorrhage
medcode	comorb_stroke_med	2474651019	Infarction of basal ganglia
medcode	comorb_stroke_med	884531000006117	Stroke
medcode	comorb_stroke_med	524511000006116	Brainstem stroke syndrome
medcode	comorb_stroke_med	300366019	Cerebellar stroke syndrome
medcode	comorb_stroke_med	3414251000006112	VAD - Vascular dementia
medcode	comorb_stroke_med	363791000006112	[X]Arteriosclerotic dementia
medcode	comorb_stroke_med	125470015	Cerebral embolism
medcode	comorb_stroke_med	4778181000006119	Left sided cerebral hemisphere cerebrovascular accident
medcode	comorb_stroke_med	300362017	Middle cerebral artery syndrome
medcode	comorb_stroke_med	4778201000006118	Right sided cerebral hemisphere cerebrovascular accident
