code_type	code_group	code	term
medcode	comorb_ulcer_med	512081010	Foot ulcer
medcode	comorb_ulcer_med	779881000006110	Infection toe
medcode	comorb_ulcer_med	440973016	Infection toe
medcode	comorb_ulcer_med	440974010	Infection foot
medcode	comorb_ulcer_med	780401000006116	Infection foot
medcode	comorb_ulcer_med	309179013	Neuropathic diabetic ulcer - foot
medcode	comorb_ulcer_med	309180011	Mixed diabetic ulcer - foot
medcode	comorb_ulcer_med	309177010	Ischaemic ulcer diabetic foot
medcode	comorb_ulcer_med	405854015	"Blister of foot, infected"
medcode	comorb_ulcer_med	5873501000006115	Infection of foot
medcode	comorb_ulcer_med	443199013	Ischaemic foot
medcode	comorb_ulcer_med	498448012	Neuropathic foot ulcer
medcode	comorb_ulcer_med	5873481000006113	Infection of toe
medcode	comorb_ulcer_med	516121000006116	"Traumatic blister of foot, infected"
medcode	comorb_ulcer_med	6348911000006117	Diabetic foot ulcer
medcode	comorb_ulcer_med	4055181000006114	Ulcer of foot
medcode	comorb_ulcer_med	311813012	Acute osteomyelitis-phalanx of toe
medcode	comorb_ulcer_med	359767013	Foot - acute osteomyelitis
medcode	comorb_ulcer_med	311811014	Acute osteomyelitis of foot
medcode	comorb_ulcer_med	359772016	Foot - chronic osteomyelitis
medcode	comorb_ulcer_med	5989191000006119	Infection of big toe
medcode	comorb_ulcer_med	13790061000006119	Neuropathic ulcer of foot due to diabetes mellitus
medcode	comorb_ulcer_med	5888071000006117	Ulcer of toe
medcode	comorb_ulcer_med	3466131000006115	Perforating ulcer of the foot
medcode	comorb_ulcer_med	311809017	Acute osteomyelitis-calcaneum
medcode	comorb_ulcer_med	311812019	Acute osteomyelitis-metatarsal
medcode	comorb_ulcer_med	311887017	Infection of phalanx of toe
medcode	comorb_ulcer_med	308285018	Pulp space infection of toe
medcode	comorb_ulcer_med	5886711000006111	Ischaemia of feet
medcode	comorb_ulcer_med	6021731000006115	Critical ischaemia of foot
medcode	comorb_ulcer_med	5126451000006116	Ischaemic foot ulcer
medcode	comorb_ulcer_med	5126491000006110	Neuroischaemic foot ulcer
medcode	comorb_ulcer_med	5144001000006119	Chronic osteomyelitis of foot
medcode	comorb_ulcer_med	5521771000006116	"Traumatic blister of toe, infected"
medcode	comorb_ulcer_med	3128017	Carbuncle of heel
medcode	comorb_ulcer_med	286570019	Gas gangrene-foot
medcode	comorb_ulcer_med	311886014	Infection of metatarsal
medcode	comorb_ulcer_med	14071551000006111	Ischaemic ulcer of foot due to diabetes mellitus
medcode	comorb_ulcer_med	5888081000006119	Ulcer of heel
medcode	comorb_ulcer_med	13919651000006113	Ulcer of heel due to atherosclerosis of artery of lower limb
medcode	comorb_ulcer_med	5981271000006114	Ulcer of big toe
medcode	comorb_ulcer_med	311810010	Acute osteomyelitis-talus
medcode	comorb_ulcer_med	5121241000006114	Infection of toe web
medcode	comorb_ulcer_med	8452811000006114	Osteomyelitis of right foot
medcode	comorb_ulcer_med	7103391000006115	Chronic ulcer of foot
medcode	comorb_ulcer_med	5989201000006116	Infection of great toe
medcode	comorb_ulcer_med	311884012	Infection of talus
medcode	comorb_ulcer_med	9315571000006114	Infection of toenail
medcode	comorb_ulcer_med	8452791000006110	Osteomyelitis of left foot
medcode	comorb_ulcer_med	5887461000006116	Skin ulcer of dorsum of foot
medcode	comorb_ulcer_med	3756511000006116	Furuncle of toe
medcode	comorb_ulcer_med	9310731000006111	Chronic ulcer of heel
medcode	comorb_ulcer_med	6021741000006113	Critical ischemia of foot
medcode	comorb_ulcer_med	5898341000006114	Ischemic foot
medcode	comorb_ulcer_med	4818711000006118	Acute osteomyelitis of calcaneum
medcode	comorb_ulcer_med	7969001000006112	Foot ulcer due to type 2 diabetes mellitus
medcode	comorb_ulcer_med	4818771000006110	Acute osteomyelitis of phalanx of toe
medcode	comorb_ulcer_med	14095251000006116	Neuropathic ulcer of toe due to type 2 diabetes mellitus
medcode	comorb_ulcer_med	7108391000006114	Ischaemic ulcer of toe
medcode	comorb_ulcer_med	13917091000006117	Neuropathic ulcer of heel due to type 2 diabetes mellitus
medcode	comorb_ulcer_med	5981281000006112	Ulcer of great toe
medcode	comorb_ulcer_med	7128761000006114	Chronic ulcer of toe
medcode	comorb_ulcer_med	14002121000006112	Infected abrasion of left foot
medcode	comorb_ulcer_med	14095271000006114	Neuropathic ulcer of foot due to type 2 diabetes mellitus
medcode	comorb_ulcer_med	7597921000006119	Osteomyelitis of forefoot
medcode	comorb_ulcer_med	4818751000006117	Acute osteomyelitis of metatarsal
medcode	comorb_ulcer_med	8044221000006116	Ischaemic foot ulcer due to type 2 diabetes mellitus
medcode	comorb_ulcer_med	7108401000006111	Ischemic ulcer of toe
medcode	comorb_ulcer_med	13931401000006116	Ulcer of left foot
medcode	comorb_ulcer_med	13931411000006118	Ulcer of right foot
medcode	comorb_ulcer_med	8026041000006113	Forefoot ulcer due to type 2 diabetes mellitus
medcode	comorb_ulcer_med	5126461000006119	Ischemic foot ulcer
