code_type	code_group	code	term	drug_substance
prodcode	med_GLP1	5131241000033110	Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices	Liraglutide
prodcode	med_GLP1	10208141000033111	Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)	Dulaglutide
prodcode	med_GLP1	10207941000033114	Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices	Dulaglutide
prodcode	med_GLP1	4149441000033117	Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices	Exenatide
prodcode	med_GLP1	5131341000033117	Victoza 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Liraglutide
prodcode	med_GLP1	12876141000033116	Semaglutide 1mg/0.74ml solution for injection 3ml pre-filled disposable device	Semaglutide
prodcode	med_GLP1	12876441000033112	Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Semaglutide
prodcode	med_GLP1	8267441000033116	Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices	Lixisenatide
prodcode	med_GLP1	12876341000033118	Semaglutide 0.5mg/0.37ml solution for injection 1.5ml pre-filled disposable device	Semaglutide
prodcode	med_GLP1	12876641000033114	Ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)	Semaglutide
prodcode	med_GLP1	10208041000033112	Trulicity 0.75mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)	Dulaglutide
prodcode	med_GLP1	10207841000033118	Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices	Dulaglutide
prodcode	med_GLP1	13753341000033115	Trulicity 3mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)	Dulaglutide
prodcode	med_GLP1	4149341000033111	Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices	Exenatide
prodcode	med_GLP1	4149641000033115	Byetta 10micrograms/0.04ml solution for injection 2.4ml pre-filled pens (AstraZeneca UK Ltd)	Exenatide
prodcode	med_GLP1	10042541000033117	Exenatide  Prolonged release suspension for injection  2 mg device	Exenatide
prodcode	med_GLP1	10042641000033116	Bydureon  Prolonged release suspension for injection  2 mg pen	Exenatide
prodcode	med_GLP1	6388341000033110	Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd)	Exenatide
prodcode	med_GLP1	6388241000033117	Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials	Exenatide
prodcode	med_GLP1	12876241000033111	Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable device	Semaglutide
prodcode	med_GLP1	12876541000033113	Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)	Semaglutide
prodcode	med_GLP1	13753141000033118	Dulaglutide 3mg/0.5ml solution for injection pre-filled disposable devices	Dulaglutide
prodcode	med_GLP1	13753441000033114	Trulicity 4.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)	Dulaglutide
prodcode	med_GLP1	8267641000033119	Lyxumia 20micrograms/0.2ml solution for injection 3ml pre-filled pens (Sanofi)	Lixisenatide
prodcode	med_GLP1	13712241000033110	Semaglutide 3mg tablets	Semaglutide
prodcode	med_GLP1	13712341000033117	Semaglutide 7mg tablets	Semaglutide
prodcode	med_GLP1	4149541000033116	Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled pens (AstraZeneca UK Ltd)	Exenatide
prodcode	med_GLP1	13427641000033114	Bydureon BCise 2mg/0.85ml prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)	Exenatide
prodcode	med_GLP1	8267341000033110	Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices	Lixisenatide
prodcode	med_GLP1	13712441000033111	Semaglutide 14mg tablets	Semaglutide
prodcode	med_GLP1	13712541000033112	Rybelsus 3mg tablets (Novo Nordisk Ltd)	Semaglutide
prodcode	med_GLP1	13712641000033113	Rybelsus 7mg tablets (Novo Nordisk Ltd)	Semaglutide
prodcode	med_GLP1	13427441000033112	Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)	Exenatide
prodcode	med_GLP1	13427541000033113	Exenatide 2mg/0.85ml prolonged-release suspension for injection pre-filled disposable devices	Exenatide
prodcode	med_GLP1	11919041000033113	Saxenda 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Liraglutide
prodcode	med_GLP1	13712741000033116	Rybelsus 14mg tablets (Novo Nordisk Ltd)	Semaglutide
prodcode	med_GLP1	13753241000033113	Dulaglutide 4.5mg/0.5ml solution for injection pre-filled disposable devices	Dulaglutide
prodcode	med_GLP1	13427341000033118	Exenatide 2mg powder and solvent for prolonged-release suspension for injection pre-filled disposable devices	Exenatide
prodcode	med_GLP1	8268441000033115	Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices	Lixisenatide
prodcode	med_GLP1	8267541000033115	Lyxumia 10micrograms/0.2ml solution for injection 3ml pre-filled pens (Sanofi)	Lixisenatide
prodcode	med_GLP1	8268641000033118	Lyxumia 10micrograms/20micrograms treatment initiation pack (Sanofi)	Lixisenatide
