code_type	code_group	code	term	drug_substance
prodcode	med_biguanide	896941000033112	Metformin 500mg tablets	Metformin hydrochloride
prodcode	med_biguanide	897041000033113	Metformin 850mg tablets	Metformin hydrochloride
prodcode	med_biguanide	644941000033117	Glucophage 500mg tablets (Merck Serono Ltd)	Metformin hydrochloride
prodcode	med_biguanide	3982341000033110	Metformin 500mg/5ml oral solution sugar free	Metformin hydrochloride
prodcode	med_biguanide	645041000033117	Glucophage 850mg tablets (Merck Serono Ltd)	Metformin hydrochloride
prodcode	med_biguanide	5007641000033119	Metformin 500mg oral powder sachets sugar free	Metformin hydrochloride
prodcode	med_biguanide	5007741000033111	Metformin 1g oral powder sachets sugar free	Metformin hydrochloride
prodcode	med_biguanide	13803041000033110	Metformin 1g tablets	Metformin hydrochloride
prodcode	med_biguanide	2620241000033119	Metformin 500mg/5ml oral suspension	Metformin hydrochloride
prodcode	med_biguanide	11781341000033117	Metformin 1g/5ml oral solution sugar free	Metformin hydrochloride
prodcode	med_biguanide	5997041000033115	Metformin 500mg/5ml oral solution	Metformin hydrochloride
prodcode	med_biguanide	3890941000033116	Metformin Hydrochloride  Sugar free suspension  500 mg/5 ml	Metformin hydrochloride
prodcode	med_biguanide	5007841000033118	Glucophage 500mg oral powder sachets (Merck Serono Ltd)	Metformin hydrochloride
prodcode	med_biguanide	5007941000033114	Glucophage 1000mg oral powder sachets (Merck Serono Ltd)	Metformin hydrochloride
prodcode	med_biguanide	11781441000033111	Metformin 850mg/5ml oral solution sugar free	Metformin hydrochloride
prodcode	med_biguanide	3982441000033116	Metsol 500mg/5ml oral solution (Kappin Ltd)	Metformin hydrochloride
prodcode	med_biguanide	13828541000033119	Axpinet 500mg tablets (GlucoRx Ltd)	Metformin hydrochloride
prodcode	med_biguanide_DPP4	5576041000033115	Metformin 1g / Sitagliptin 50mg tablets	Metformin hydrochloride/ Sitagliptin
prodcode	med_biguanide_DPP4	4452441000033113	Vildagliptin 50mg / Metformin 1g tablets	Metformin hydrochloride/ Vildagliptin
prodcode	med_biguanide_DPP4	8959841000033119	Alogliptin 12.5mg / Metformin 1g tablets	Alogliptin benzoate/ Metformin hydrochloride
prodcode	med_biguanide_DPP4	8115741000033119	Linagliptin 2.5mg / Metformin 1g tablets	Linagliptin/ Metformin hydrochloride
prodcode	med_biguanide_DPP4	5132241000033116	Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd)	Metformin hydrochloride/ Sitagliptin
prodcode	med_biguanide_DPP4	4452341000033119	Vildagliptin 50mg / Metformin 850mg tablets	Metformin hydrochloride/ Vildagliptin
prodcode	med_biguanide_DPP4	8115841000033112	Linagliptin 2.5mg / Metformin 850mg tablets	Linagliptin/ Metformin hydrochloride
prodcode	med_biguanide_DPP4	8242641000033113	Saxagliptin 2.5mg / Metformin 1g tablets	Metformin hydrochloride/ Saxagliptin hydrochloride
prodcode	med_biguanide_DPP4	4452541000033114	Eucreas 50mg/1000mg tablets (Novartis Pharmaceuticals UK Ltd)	Metformin hydrochloride/ Vildagliptin
prodcode	med_biguanide_DPP4	8959941000033110	Vipdomet 12.5mg/1000mg tablets (Takeda UK Ltd)	Alogliptin benzoate/ Metformin hydrochloride
prodcode	med_biguanide_DPP4	8115941000033116	Jentadueto 2.5mg/1000mg tablets (Boehringer Ingelheim Ltd)	Linagliptin/ Metformin hydrochloride
prodcode	med_biguanide_DPP4	4452641000033110	Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd)	Metformin hydrochloride/ Vildagliptin
prodcode	med_biguanide_DPP4	8242541000033112	Saxagliptin 2.5mg / Metformin 850mg tablets	Metformin hydrochloride/ Saxagliptin hydrochloride
prodcode	med_biguanide_DPP4	8116041000033114	Jentadueto 2.5mg/850mg tablets (Boehringer Ingelheim Ltd)	Linagliptin/ Metformin hydrochloride
prodcode	med_biguanide_DPP4	8242841000033114	Komboglyze 2.5mg/1000mg tablets (AstraZeneca UK Ltd)	Metformin hydrochloride/ Saxagliptin hydrochloride
prodcode	med_biguanide_DPP4	8242741000033116	Komboglyze 2.5mg/850mg tablets (AstraZeneca UK Ltd)	Metformin hydrochloride/ Saxagliptin hydrochloride
prodcode	med_biguanide_SGLT2	9106041000033110	Dapagliflozin 5mg / Metformin 1g tablets	Dapagliflozin propanediol monohydrate/ Metformin hydrochloride
prodcode	med_biguanide_SGLT3	10614441000033112	Empagliflozin 12.5mg / Metformin 1g tablets	Empagliflozin/ Metformin hydrochloride
prodcode	med_biguanide_SGLT4	10614241000033111	Empagliflozin 5mg / Metformin 1g tablets	Empagliflozin/ Metformin hydrochloride
prodcode	med_biguanide_SGLT5	9851541000033114	Canagliflozin 50mg / Metformin 1g tablets	Canagliflozin hemihydrate/ Metformin hydrochloride
prodcode	med_biguanide_SGLT6	9106141000033114	Dapagliflozin 5mg / Metformin 850mg tablets	Dapagliflozin propanediol monohydrate/ Metformin hydrochloride
prodcode	med_biguanide_SGLT7	10614141000033116	Empagliflozin 5mg / Metformin 850mg tablets	Empagliflozin/ Metformin hydrochloride
prodcode	med_biguanide_SGLT8	10614341000033118	Empagliflozin 12.5mg / Metformin 850mg tablets	Empagliflozin/ Metformin hydrochloride
prodcode	med_biguanide_SGLT9	9851641000033110	Canagliflozin 50mg / Metformin 850mg tablets	Canagliflozin hemihydrate/ Metformin hydrochloride
prodcode	med_biguanide_SGLT10	9106241000033119	Xigduo 5mg/1000mg tablets (AstraZeneca UK Ltd)	Dapagliflozin propanediol monohydrate/ Metformin hydrochloride
prodcode	med_biguanide_SGLT11	10614841000033110	Synjardy 12.5mg/1000mg tablets (Boehringer Ingelheim Ltd)	Empagliflozin/ Metformin hydrochloride
prodcode	med_biguanide_SGLT12	10614641000033114	Synjardy 5mg/1000mg tablets (Boehringer Ingelheim Ltd)	Empagliflozin/ Metformin hydrochloride
prodcode	med_biguanide_SGLT13	9851841000033111	Vokanamet 50mg/1000mg tablets (Napp Pharmaceuticals Ltd)	Canagliflozin hemihydrate/ Metformin hydrochloride
prodcode	med_biguanide_SGLT14	9106341000033112	Xigduo 5mg/850mg tablets (AstraZeneca UK Ltd)	Dapagliflozin propanediol monohydrate/ Metformin hydrochloride
prodcode	med_biguanide_SGLT15	10614541000033113	Synjardy 5mg/850mg tablets (Boehringer Ingelheim Ltd)	Empagliflozin/ Metformin hydrochloride
prodcode	med_biguanide_SGLT16	10614741000033117	Synjardy 12.5mg/850mg tablets (Boehringer Ingelheim Ltd)	Empagliflozin/ Metformin hydrochloride
prodcode	med_biguanide_SGLT17	9851741000033118	Vokanamet 50mg/850mg tablets (Napp Pharmaceuticals Ltd)	Canagliflozin hemihydrate/ Metformin hydrochloride
prodcode	med_biguanide_slow	3228141000033117	Metformin 500mg modified-release tablets	Metformin hydrochloride
prodcode	med_biguanide_slow	4945241000033117	Metformin 1g modified-release tablets	Metformin hydrochloride
prodcode	med_biguanide_slow	9230641000033113	Sukkarto SR 500mg tablets (Morningside Healthcare Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	9230841000033114	Sukkarto SR 1000mg tablets (Morningside Healthcare Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	3228241000033112	Glucophage SR 500mg tablets (Merck Serono Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	4549141000033118	Metformin 750mg modified-release tablets	Metformin hydrochloride
prodcode	med_biguanide_slow	4945341000033110	Glucophage SR 1000mg tablets (Merck Serono Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	12593141000033115	Yaltormin SR 500mg tablets (Wockhardt UK Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	12593341000033117	Yaltormin SR 1000mg tablets (Wockhardt UK Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	4549241000033113	Glucophage SR 750mg tablets (Merck Serono Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	4957741000033118	Bolamyn SR 500mg tablets (Teva UK Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	7874941000033110	Diagemet XL 500mg tablets (Genus Pharmaceuticals Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	13606641000033119	Glucorex SR 500mg tablets (GlucoRx Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	6029841000033115	Metabet SR 500mg tablets (Morningside Healthcare Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	13429041000033112	Sukkarto SR 750mg tablets (Morningside Healthcare Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	12593241000033110	Yaltormin SR 750mg tablets (Wockhardt UK Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	8348941000033113	Bolamyn SR 1000mg tablets (Teva UK Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	6279741000033117	Metabet SR 1000mg tablets (Morningside Healthcare Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	6391041000033117	Glucient SR 500mg tablets (Consilient Health Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	10598941000033117	Glucient SR 1000mg tablets (Consilient Health Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	12326541000033110	Meijumet 500mg modified-release tablets (Medreich Plc)	Metformin hydrochloride
prodcode	med_biguanide_slow	12664441000033115	Metuxtan SR 500mg tablets (Accord Healthcare Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	10598841000033113	Glucient SR 750mg tablets (Consilient Health Ltd)	Metformin hydrochloride
prodcode	med_biguanide_slow	12326741000033119	Meijumet 1000mg modified-release tablets (Medreich Plc)	Metformin hydrochloride
prodcode	med_biguanide_slow	12326641000033111	Meijumet 750mg modified-release tablets (Medreich Plc)	Metformin hydrochloride
prodcode	med_biguanide_thiazo	3983941000033115	Pioglitazone 15mg / Metformin 850mg tablets	Metformin hydrochloride/ Pioglitazone hydrochloride
prodcode	med_biguanide_thiazo	3984241000033114	Competact 15mg/850mg tablets (Neon Healthcare Ltd)	Metformin hydrochloride/ Pioglitazone hydrochloride
prodcode	med_DPP4	4133241000033117	Sitagliptin 100mg tablets	Sitagliptin
prodcode	med_DPP4	6444041000033117	Linagliptin 5mg tablets	Linagliptin
prodcode	med_DPP4	8959441000033117	Alogliptin 25mg tablets	Alogliptin benzoate
prodcode	med_DPP4	7687241000033110	Sitagliptin 50mg tablets	Sitagliptin
prodcode	med_DPP4	5316641000033118	Saxagliptin 5mg tablets	Saxagliptin hydrochloride
prodcode	med_DPP4	8959341000033111	Alogliptin 12.5mg tablets	Alogliptin benzoate
prodcode	med_DPP4	4269741000033117	Vildagliptin 50mg tablets	Vildagliptin
prodcode	med_DPP4	7687441000033111	Sitagliptin 25mg tablets	Sitagliptin
prodcode	med_DPP4	6123241000033112	Saxagliptin 2.5mg tablets	Saxagliptin hydrochloride
prodcode	med_DPP4	8959241000033118	Alogliptin 6.25mg tablets	Alogliptin benzoate
prodcode	med_DPP4	4133341000033110	Januvia 100mg tablets (Merck Sharp & Dohme (UK) Ltd)	Sitagliptin
prodcode	med_DPP4	6444141000033118	Trajenta 5mg tablets (Boehringer Ingelheim Ltd)	Linagliptin
prodcode	med_DPP4	8959741000033112	Vipidia 25mg tablets (Takeda UK Ltd)	Alogliptin benzoate
prodcode	med_DPP4	8959641000033115	Vipidia 12.5mg tablets (Takeda UK Ltd)	Alogliptin benzoate
prodcode	med_DPP4	7687341000033117	Januvia 50mg tablets (Merck Sharp & Dohme (UK) Ltd)	Sitagliptin
prodcode	med_DPP4	5316741000033110	Onglyza 5mg tablets (AstraZeneca UK Ltd)	Saxagliptin hydrochloride
prodcode	med_DPP4	4269941000033119	Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd)	Vildagliptin
prodcode	med_DPP4	8959541000033116	Vipidia 6.25mg tablets (Takeda UK Ltd)	Alogliptin benzoate
prodcode	med_DPP4	7687541000033112	Januvia 25mg tablets (Merck Sharp & Dohme (UK) Ltd)	Sitagliptin
prodcode	med_DPP4	6123341000033119	Onglyza 2.5mg tablets (AstraZeneca UK Ltd)	Saxagliptin hydrochloride
prodcode	med_DPP4	14121441000033118	Sitagliptin 100mg/5ml oral solution sugar free	Sitagliptin hydrochloride
prodcode	med_GIP_GLP1	14116341000033114	Tirzepatide 2.5mg/0.5ml solution for injection pre-filled disposable devices	Tirzepatide
prodcode	med_GLP1	5131241000033110	Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices	Liraglutide
prodcode	med_GLP1	10208141000033111	Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)	Dulaglutide
prodcode	med_GLP1	10207941000033114	Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices	Dulaglutide
