code_type	code_group	code	term	drug_substance
prodcode	med_insulin_long	2724841000033118	NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Insulin aspart/ Insulin aspart protamine
prodcode	med_insulin_long	2724741000033111	NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)	Insulin aspart/ Insulin aspart protamine
prodcode	med_insulin_long	8264341000033118	Insulin degludec 100units/ml solution for injection 3ml cartridges	Insulin degludec
prodcode	med_insulin_long	8263941000033117	Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices	Insulin degludec
prodcode	med_insulin_long	8264041000033115	Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices	Insulin degludec
prodcode	med_insulin_long	8264141000033116	Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Insulin degludec
prodcode	med_insulin_long	8264241000033111	Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Insulin degludec
prodcode	med_insulin_long	8264441000033112	Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)	Insulin degludec
prodcode	med_insulin_long	3137041000033115	Insulin detemir 100units/ml solution for injection 3ml cartridges	Insulin detemir
prodcode	med_insulin_long	3136941000033116	Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices	Insulin detemir
prodcode	med_insulin_long	3137241000033111	Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Insulin detemir
prodcode	med_insulin_long	4126541000033110	Levemir InnoLet 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Insulin detemir
prodcode	med_insulin_long	3137141000033116	Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)	Insulin detemir
prodcode	med_insulin_long	10600641000033118	Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)	Insulin glargine
prodcode	med_insulin_long	10600741000033110	Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)	Insulin glargine
prodcode	med_insulin_long	14002541000033110	Abasaglar Tempo Pen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)	Insulin glargine
prodcode	med_insulin_long	2798841000033115	Insulin glargine 100units/ml solution for injection 10ml vials	Insulin glargine
prodcode	med_insulin_long	2798941000033111	Insulin glargine 100units/ml solution for injection 3ml cartridges	Insulin glargine
prodcode	med_insulin_long	2799041000033119	Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices	Insulin glargine
prodcode	med_insulin_long	10494241000033110	Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices	Insulin glargine
prodcode	med_insulin_long	12998741000033119	Insulin glargine 300units/ml solution for injection 3ml pre-filled disposable devices	Insulin glargine
prodcode	med_insulin_long	2780741000033111	Lantus 100units/ml solution for injection 10ml vials (Sanofi)	Insulin glargine
prodcode	med_insulin_long	2780841000033118	Lantus 100units/ml solution for injection 3ml cartridges (Sanofi)	Insulin glargine
prodcode	med_insulin_long	3869341000033114	Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi)	Insulin glargine
