code_type	code_group	code	term
medcode	risk_LDL_med	259233017	Serum low density lipoprotein cholesterol level
medcode	risk_LDL_med	1488764011	Calculated LDL (low density lipoprotein) cholesterol level
medcode	risk_LDL_med	458314019	Plasma LDL (low density lipoprotein) cholesterol level
medcode	risk_LDL_med	259246010	Serum fasting LDL (low density lipoprotein) cholesterol level
medcode	risk_LDL_med	857141000006116	LDL cholesterol level
medcode	risk_LDL_med	259247018	Serum random LDL (low density lipoprotein) cholesterol level
medcode	risk_LDL_med	259570010	Plasma fasting LDL (low density lipoprotein) cholesterol level
medcode	risk_LDL_med	259569014	Plasma random LDL (low density lipoprotein) cholesterol level
medcode	risk_LDL_med	4079621000006115	LDL cholesterol
medcode	risk_LDL_med	4217651000006116	Low density lipoprotein cholesterol measurement
medcode	risk_LDL_med	4600241000006118	Serum LDL cholesterol level
medcode	risk_LDL_med	4217661000006119	LDL cholesterol measurement
medcode	risk_LDL_med	12623411000006112	LDL-C (low density lipoprotein cholesterol) substance concentration in serum
medcode	risk_LDL_med	4217681000006112	LDL - Low density lipoprotein cholesterol level
medcode	risk_LDL_med	6550661000006112	Calculated LDL cholesterol level
medcode	risk_LDL_med	4600231000006111	Serum LDL cholesterol measurement
medcode	risk_LDL_med	8403921000006111	Serum LDL (low density lipoprotein) cholesterol level
medcode	risk_LDL_med	4079651000006112	LDLC - Low density lipoprotein cholesterol
medcode	risk_LDL_med	4217691000006110	Low density lipoprotein cholesterol level
medcode	risk_LDL_med	12623391000006112	LDL-C (low density lipoprotein cholesterol) substance concentration in plasma
