code_type	code_group	code	term
medcode	risk_hba1c_med	1700711000006113	Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised
medcode	risk_hba1c_med	457954013	HbA1c level (Diabetes Control and Complications Trial aligned)
medcode	risk_hba1c_med	129761000000114	Haemoglobin A1c level
medcode	risk_hba1c_med	1986181000006111	HbA1c (haemoglobin A1c) level (diagnostic reference range) - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised
medcode	risk_hba1c_med	1753211000006115	HbA1c (haemoglobin A1c) target level - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised
medcode	risk_hba1c_med	1986191000006114	HbA1c (haemoglobin A1c) level (monitoring ranges) - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised
medcode	risk_hba1c_med	453910015	Haemoglobin A1C - diabetic control finding
medcode	risk_hba1c_med	3199161000006117	Haemoglobin A1c measurement
medcode	risk_hba1c_med	3199191000006113	HbA1c - Hemoglobin A1c level
medcode	risk_hba1c_med	6036711000006118	HbA1c level (DCCT aligned)
medcode	risk_hba1c_med	8121181000006118	Hb A1c (Haemoglobin A1c) level - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised
medcode	risk_hba1c_med	3199181000006110	HbA1c - Haemoglobin A1c level
medcode	risk_hba1c_med	7285151000006113	HBA1c (Hemoglobin A1c) level
medcode	risk_hba1c_med	8121171000006116	Hb A1c (Haemoglobin A1c) measurement - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised
medcode	risk_hba1c_med	7285141000006111	HBA1c (Haemoglobin A1c) level
medcode	risk_hba1c_med	6036701000006116	HbA1c measurement (DCCT aligned)
medcode	risk_hba1c_med	7960891000006119	Glycated haemoglobin-A1c
medcode	risk_hba1c_med	7960911000006117	HbA1c - Glycated hemoglobin-A1c
medcode	risk_hba1c_med	7960921000006113	HbA1c - Glycated haemoglobin-A1c
medcode	risk_hba1c_med	12622041000006111	HbA1c (haemoglobin A1c) molar concentration in blood
medcode	risk_hba1c_med	14368911000006117	Haemoglobin A1c measurement - International Federation of Clinical Chemistry and Laboratory Medicine standardised
