code_type	code_group	code	term
medcode	risk_smok_med	108938018	Cigarette smoker
medcode	risk_smok_med	503483019	Current smoker
medcode	risk_smok_med	700121000006118	Moderate cigarette smoker (10-19 cigs/day)
medcode	risk_smok_med	743331000006116	Light cigarette smoker (1-9 cigs/day)
medcode	risk_smok_med	250372012	Trying to give up smoking
medcode	risk_smok_med	128130017	Smoker
medcode	risk_smok_med	250375014	Rolls own cigarettes
medcode	risk_smok_med	1488578010	Not interested in stopping smoking
medcode	risk_smok_med	819331000006110	Heavy cigarette smoker (20-39 cigs/day)
medcode	risk_smok_med	1488576014	Thinking about stopping smoking
medcode	risk_smok_med	88471000006112	Trivial cigarette smoker (less than one cigarette/day)
medcode	risk_smok_med	342574011	Total time smoked
medcode	risk_smok_med	1488577017	Ready to stop smoking
medcode	risk_smok_med	99639019	Cigar smoker
medcode	risk_smok_med	6282331000006114	Tobacco smoking behaviour - finding
medcode	risk_smok_med	136515019	Pipe smoker
medcode	risk_smok_med	137771000006119	Smoking Age Started
medcode	risk_smok_med	397733018	Occasional smoker
medcode	risk_smok_med	2474719011	Minutes from waking to first tobacco consumption
medcode	risk_smok_med	2669652019	Smoking started
medcode	risk_smok_med	250368013	Keeps trying to stop smoking
medcode	risk_smok_med	137721000006115	Smoker - amount smoked
medcode	risk_smok_med	102951000006115	Tobacco dependence
medcode	risk_smok_med	1592611000000110	Failed attempt to stop smoking
medcode	risk_smok_med	250387019	Tobacco consumption NOS
medcode	risk_smok_med	216212011	Smoking reduced
medcode	risk_smok_med	344794017	Cigar consumption
medcode	risk_smok_med	2670126018	Smoking restarted
medcode	risk_smok_med	904121000006117	Carbon monoxide validation confirms smoker
medcode	risk_smok_med	1780360012	Reason for restarting smoking
medcode	risk_smok_med	604961000006114	Current Smoker NOS
medcode	risk_smok_med	854021000006115	Cigarette smoker
medcode	risk_smok_med	8063181000006116	Wants to stop smoking
medcode	risk_smok_med	137791000006118	Smoking restarted
