MedCodeId	Term	status
108938018	Cigarette smoker	1
503483019	Current smoker	1
700121000006118	Moderate cigarette smoker (10-19 cigs/day)	1
743331000006116	Light cigarette smoker (1-9 cigs/day)	1
250372012	Trying to give up smoking	1
128130017	Smoker	1
250375014	Rolls own cigarettes	1
1488578010	Not interested in stopping smoking	1
819331000006110	Heavy cigarette smoker (20-39 cigs/day)	1
1488576014	Thinking about stopping smoking	1
88471000006112	Trivial cigarette smoker (less than one cigarette/day)	1
342574011	Total time smoked	5
1488577017	Ready to stop smoking	1
99639019	Cigar smoker	1
6282331000006114	Tobacco smoking behaviour - finding	1
136515019	Pipe smoker	1
137771000006119	Smoking Age Started	5
397733018	Occasional smoker	1
2474719011	Minutes from waking to first tobacco consumption	1
2669652019	Smoking started	1
250368013	Keeps trying to stop smoking	1
137721000006115	Smoker - amount smoked	1
102951000006115	Tobacco dependence	1
1592611000000110	Failed attempt to stop smoking	1
250387019	Tobacco consumption NOS	1
216212011	Smoking reduced	1
344794017	Cigar consumption	1
2670126018	Smoking restarted	1
904121000006117	Carbon monoxide validation confirms smoker	1
1780360012	Reason for restarting smoking	1
604961000006114	Current Smoker NOS	1
854021000006115	Cigarette smoker	1
8063181000006116	Wants to stop smoking	1
137791000006118	Smoking restarted	1
137711000006111	Smoker (Read codes)	1
2170961000000116	Waterpipe tobacco consumption	1
344795016	Pipe tobacco consumption	1
7375991000006118	Smokes tobacco daily	1
5003151000006116	Light cigarette smoker	1
11904991000006116	Occasional cigarette smoker	1
854981000006117	Grade C moderate smoker (11-20/day)	1
5003171000006114	Heavy cigarette smoker	1
961581000006114	Smokes/uses tobacco products	1
5003161000006119	Moderate cigarette smoker	1
854071000006119	Current smoker	1
1817431000006112	Tobacco use and exposure	1
250369017	Admitted tobacco consumption possibly untrue	1
854961000006110	Grade B light smoker (1-10/day)	1
460828018	Tobacco user	1
852111000006118	Gradual smoking reduction	1
855001000006114	Grade D heavy smoker (>20 Day)	1
295256013	"Tobacco dependence, unspecified"	1
3419101000006116	Moderate smoker (20 or less per day)	1
3959111000006111	Tobacco dependence syndrome	1
8153371000006117	Occasional tobacco smoker	1
295260011	Tobacco dependence NOS	1
5003191000006110	Chain smoker	1
3422221000006116	Heavy smoker (over 20 per day)	1
5003181000006112	Very heavy cigarette smoker	1
1899551000006112	Mother's smoking status at time of baby's birth - smoker	1
1819411000006114	Smoking increased	1
8299271000006119	Number of previous attempts to stop smoking	1
295257016	"Tobacco dependence, continuous"	1
5495941000006114	Occasional smoker	1
852981000006111	Rolls own cigarettes	1
903981000006117	Not interested in stopping smoking	1
5495951000006111	Occasional cigarette smoker (less than one cigarette/day)	1
4948531000006116	Smokes in bed	1
295258014	"Tobacco dependence, episodic"	1
5495901000006112	Amount and type of tobacco smoked	1
904001000006111	Ready to stop smoking	1
1809131000006111	Total time smoked	5
1809121000006113	Waterpipe tobacco consumption	1
4180331000006118	Tobacco use	1
3582451000006114	Cigarette smoking tobacco	1
904031000006115	Thinking about stopping smoking	1
4980741000006114	Moist tobacco consumption	1
5003141000006118	Trivial cigarette smoker	1
7507181000006115	Hookah pipe smoker	1
3874641000006110	Pipe smoking tobacco	1
904041000006113	Waking time to first cigarette	1
6282311000006115	Tobacco use and exposure - finding	1
6282371000006112	Tobacco smoking consumption - finding	1
7507191000006117	Water pipe smoker	1
