code_type	code_group	code	term
medcode	strat_HF_med	139475013	Heart failure
medcode	strat_HF_med	70653017	Congestive heart failure
medcode	strat_HF_med	141306010	Left ventricular failure
medcode	strat_HF_med	493287011	Congestive cardiac failure
medcode	strat_HF_med	2616471011	New York Heart Association Classification - Class II
medcode	strat_HF_med	2616470012	New York Heart Association Classification - Class I
medcode	strat_HF_med	2616472016	New York Heart Association Classification - Class III
medcode	strat_HF_med	301694014	Pulmonary oedema
medcode	strat_HF_med	139482012	Cardiac failure
medcode	strat_HF_med	395772015	Heart failure NOS
medcode	strat_HF_med	216184014	Congestive heart failure monitoring
medcode	strat_HF_med	300179017	Decompensated cardiac failure
medcode	strat_HF_med	1647701000000118	Heart failure with normal ejection fraction
medcode	strat_HF_med	3886041000006118	Left heart failure
medcode	strat_HF_med	1488804017	Heart failure confirmed
medcode	strat_HF_med	7573171000006116	Heart failure with reduced ejection fraction
medcode	strat_HF_med	147247018	Chronic congestive heart failure
medcode	strat_HF_med	206703015	Right heart failure
medcode	strat_HF_med	510016018	Biventricular congestive heart failure
medcode	strat_HF_med	300190010	Acute left ventricular failure
medcode	strat_HF_med	1490256017	Acute pulmonary oedema
medcode	strat_HF_med	18472010	Acute congestive heart failure
medcode	strat_HF_med	2227501000000110	Heart failure with preserved ejection fraction
medcode	strat_HF_med	251680018	H/O: heart failure
medcode	strat_HF_med	12626351000006111	QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation
medcode	strat_HF_med	253994013	O/E - pulmonary oedema
medcode	strat_HF_med	7025691000006110	Decompensated chronic heart failure
medcode	strat_HF_med	94251011	Acute heart failure
medcode	strat_HF_med	2616473014	New York Heart Association Classification - Class IV
medcode	strat_HF_med	1816101000006113	Right ventricular failure
medcode	strat_HF_med	301741013	Acute pulmonary oedema unspecified
medcode	strat_HF_med	223981000000118	Cardiac failure NOS
medcode	strat_HF_med	490972013	Right ventricular failure
medcode	strat_HF_med	301743011	Acute pulmonary oedema NOS
medcode	strat_HF_med	300180019	Compensated cardiac failure
medcode	strat_HF_med	3182541000006117	Congestive cardiac failure
medcode	strat_HF_med	3182551000006115	CCF - Congestive cardiac failure
medcode	strat_HF_med	7321121000006119	Heart failure with preserved ejection fraction
medcode	strat_HF_med	2675255018	Congestive heart failure due to valvular disease
medcode	strat_HF_med	453099015	H/O: Heart failure in last year
medcode	strat_HF_med	13910671000006110	Heart failure with mid range ejection fraction
medcode	strat_HF_med	494669012	Chronic pulmonary oedema
