code_type	code_group	code	term
medcode	strat_ASCVD	2534664018	Ischaemic heart disease
medcode	strat_ASCVD	299757012	Angina pectoris
medcode	strat_ASCVD	94884017	Acute myocardial infarction
medcode	strat_ASCVD	2537480011	IHD - Ischaemic heart disease
medcode	strat_ASCVD	405339016	Cerebrovascular accident
medcode	strat_ASCVD	395783012	Transient ischaemic attack
medcode	strat_ASCVD	395788015	Transient cerebral ischaemia
medcode	strat_ASCVD	235911000006116	Peripheral vascular disease
medcode	strat_ASCVD	1780501013	Acute non-ST segment elevation myocardial infarction
medcode	strat_ASCVD	105536013	Intermittent claudication
medcode	strat_ASCVD	605501000006117	CVA unspecified
medcode	strat_ASCVD	219531000000117	MI - acute myocardial infarction
medcode	strat_ASCVD	2536395017	Coronary artery disease
medcode	strat_ASCVD	1780491019	Acute ST segment elevation myocardial infarction
medcode	strat_ASCVD	1488382011	Acute coronary syndrome
medcode	strat_ASCVD	299835014	Ischaemic heart disease NOS
medcode	strat_ASCVD	395780010	Cerebral infarction
medcode	strat_ASCVD	605491000006113	CVA - Cerebrovascular accident
medcode	strat_ASCVD	7845011	Unstable angina
medcode	strat_ASCVD	299714019	Acute myocardial infarction of inferior wall
medcode	strat_ASCVD	300515011	Peripheral vascular disease NOS
medcode	strat_ASCVD	605461000006117	CVA - cerebrovascular accident due to cerebral artery occlusion
medcode	strat_ASCVD	1222398015	Cerebral arterial occlusion
medcode	strat_ASCVD	122401000006115	Stroke unspecified
medcode	strat_ASCVD	395791015	Other peripheral vascular disease
medcode	strat_ASCVD	744901000006114	Intracerebral haemorrhage (ICH)
medcode	strat_ASCVD	350348018	Stable angina
medcode	strat_ASCVD	300370010	Left sided CVA
medcode	strat_ASCVD	5010981000006119	Stroke
medcode	strat_ASCVD	251692018	H/O: TIA
medcode	strat_ASCVD	216185010	Peripheral vascular disease monitoring
medcode	strat_ASCVD	299721019	Acute myocardial infarction NOS
medcode	strat_ASCVD	4031011	Old myocardial infarction
medcode	strat_ASCVD	72571000006115	Unstable angina
medcode	strat_ASCVD	411512011	Claudication
medcode	strat_ASCVD	300371014	Right sided CVA
medcode	strat_ASCVD	482941000006119	Angina pectoris NOS
medcode	strat_ASCVD	497559016	Arteriosclerotic dementia
medcode	strat_ASCVD	299765010	Angina pectoris NOS
medcode	strat_ASCVD	350346019	Triple vessel disease of the heart
medcode	strat_ASCVD	595731000006114	Coronary atherosclerosis
medcode	strat_ASCVD	605471000006112	Cerebral hemorrhage
medcode	strat_ASCVD	741131000000114	Peripheral vascular disease monitoring first letter
medcode	strat_ASCVD	696161000006115	Multi-infarct dementia
medcode	strat_ASCVD	451133011	Left sided cerebral infarction
medcode	strat_ASCVD	158118014	Cerebellar infarction
medcode	strat_ASCVD	299782012	Single coronary vessel disease
medcode	strat_ASCVD	299709018	Anterior myocardial infarction NOS
medcode	strat_ASCVD	742481000006118	Ischaemic leg
medcode	strat_ASCVD	122361000006113	Stroke due to cerebral arterial occlusion
medcode	strat_ASCVD	118689010	Cerebral thrombosis
medcode	strat_ASCVD	122371000006118	Cerebral haemorrhage
medcode	strat_ASCVD	451134017	Right sided cerebral infarction
medcode	strat_ASCVD	810821000006112	H/O: myocardial infarct at greater than 60
medcode	strat_ASCVD	299796018	Ischaemic cardiomyopathy
medcode	strat_ASCVD	299776014	Chronic ischaemic heart disease
medcode	strat_ASCVD	455641000006112	Acute anterolateral myocardial infarction
medcode	strat_ASCVD	810811000006116	H/O: myocardial infarct at less than 60
medcode	strat_ASCVD	299783019	Double coronary vessel disease
medcode	strat_ASCVD	442204010	Angina on effort
medcode	strat_ASCVD	13944841000006117	Peripheral arterial disease
medcode	strat_ASCVD	299342019	Lacunar infarction
medcode	strat_ASCVD	218511000000117	Infarction - cerebral
medcode	strat_ASCVD	95931000006111	Transient cerebral ischaemia NOS
medcode	strat_ASCVD	67511000006117	Vertebro-basilar insufficiency
medcode	strat_ASCVD	299745015	Acute coronary insufficiency
medcode	strat_ASCVD	37443015	Heart attack
medcode	strat_ASCVD	457531000006110	Acute inferolateral myocardial infarction
medcode	strat_ASCVD	116992017	Acute subendocardial infarction
medcode	strat_ASCVD	1227364015	History of coronary artery bypass grafting
medcode	strat_ASCVD	299741012	Preinfarction syndrome
medcode	strat_ASCVD	350535018	Peripheral ischaemic vascular disease
medcode	strat_ASCVD	443199013	Ischaemic foot
medcode	strat_ASCVD	450665015	Ischaemic toe
medcode	strat_ASCVD	2474651019	Infarction of basal ganglia
medcode	strat_ASCVD	399031000006111	[X]Multi-infarct dementia
medcode	strat_ASCVD	502878012	Cerebellar haemorrhage
medcode	strat_ASCVD	7847015	Crescendo angina
medcode	strat_ASCVD	350533013	Peripheral ischaemia
medcode	strat_ASCVD	3414251000006112	VAD - Vascular dementia
medcode	strat_ASCVD	524511000006116	Brainstem stroke syndrome
medcode	strat_ASCVD	300366019	Cerebellar stroke syndrome
medcode	strat_ASCVD	451132018	[V]Presence of coronary artery bypass graft
medcode	strat_ASCVD	2160096015	Coronary artery bypass graft occlusion
medcode	strat_ASCVD	494261017	Worsening angina
medcode	strat_ASCVD	299707016	Acute anterior myocardial infarction
medcode	strat_ASCVD	884611000006112	Peripheral vasc. disease NOS
medcode	strat_ASCVD	230021000006115	Personal history of myocardial infarction
medcode	strat_ASCVD	884151000006119	Myocardial Infarction
medcode	strat_ASCVD	338974012	Ischaemic chest pain
medcode	strat_ASCVD	459859010	Asymptomatic coronary heart disease
medcode	strat_ASCVD	5058071000006110	Lower limb ischaemia
medcode	strat_ASCVD	300362017	Middle cerebral artery syndrome
medcode	strat_ASCVD	363791000006112	[X]Arteriosclerotic dementia
medcode	strat_ASCVD	4778181000006119	Left sided cerebral hemisphere cerebrovascular accident
medcode	strat_ASCVD	125470015	Cerebral embolism
medcode	strat_ASCVD	300349016	Transient cerebral ischaemia NOS
medcode	strat_ASCVD	106394016	Vertebrobasilar insufficiency
medcode	strat_ASCVD	741071000000112	Peripheral vascular disease monitoring invitation
medcode	strat_ASCVD	2855301000006112	Myocardial infarction
medcode	strat_ASCVD	7844010	Preinfarction syndrome
medcode	strat_ASCVD	1847121000006114	Peripheral arterial disease
medcode	strat_ASCVD	4778201000006118	Right sided cerebral hemisphere cerebrovascular accident
medcode	strat_ASCVD	256452010	ECG: myocardial infarction
medcode	strat_ASCVD	299710011	Acute posterior myocardial infarction
medcode	strat_ASCVD	498328016	Angina at rest
medcode	strat_ASCVD	455651000006114	Acute anteroseptal myocardial infarction
medcode	strat_ASCVD	299834013	Other specified ischaemic heart disease
medcode	strat_ASCVD	300514010	Other specified peripheral vascular disease NOS
medcode	strat_ASCVD	302011	Diabetic peripheral angiopathy
medcode	strat_ASCVD	543141000006110	Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
medcode	strat_ASCVD	350350014	New onset angina
medcode	strat_ASCVD	450322013	Acute non-Q wave infarction
medcode	strat_ASCVD	1234005010	Acute inferoposterior infarction
medcode	strat_ASCVD	6632221000006112	Peripheral arterial occlusive disease
medcode	strat_ASCVD	300277011	Intracerebral haemorrhage, intraventricular
medcode	strat_ASCVD	300321011	Cerebral infarction due to thrombosis of cerebral arteries
medcode	strat_ASCVD	524541000006117	Brain stem infarction
medcode	strat_ASCVD	300287010	Intracerebral haemorrhage NOS
medcode	strat_ASCVD	884621000006116	Peripheral vasc. disease NOS
medcode	strat_ASCVD	4776121000006117	Generalised ischaemic myocardial dysfunction
medcode	strat_ASCVD	1786197015	Coronary thrombosis
medcode	strat_ASCVD	1738171000006114	History of myocardial infarction
medcode	strat_ASCVD	2534674015	Chronic myocardial ischaemia
medcode	strat_ASCVD	350376014	Silent myocardial infarction
medcode	strat_ASCVD	39111000006114	Other acute and subacute ischaemic heart disease
medcode	strat_ASCVD	3371411000006113	CHD - Coronary heart disease
medcode	strat_ASCVD	3371421000006117	Coronary heart disease
medcode	strat_ASCVD	299711010	Acute lateral myocardial infarction
medcode	strat_ASCVD	5058111000006119	Critical lower limb ischaemia
medcode	strat_ASCVD	300312010	Cerebral infarct due to thrombosis of precerebral arteries
medcode	strat_ASCVD	300941014	[X]Other cerebral infarction
medcode	strat_ASCVD	503469016	Pontine haemorrhage
medcode	strat_ASCVD	503791000006114	Basal ganglia haemorrhage
medcode	strat_ASCVD	300364016	Posterior cerebral artery syndrome
medcode	strat_ASCVD	5011091000006110	Partial anterior cerebral circulation infarction
medcode	strat_ASCVD	6990981000006114	Ischaemic stroke
medcode	strat_ASCVD	25897016	Subclavian steal syndrome
medcode	strat_ASCVD	499739014	Insufficiency - basilar artery
medcode	strat_ASCVD	67501000006115	Vertebrobasilar artery syndrome
medcode	strat_ASCVD	350354017	Silent myocardial ischaemia
medcode	strat_ASCVD	5058231000006119	Coronary artery stenosis
medcode	strat_ASCVD	451369010	H/O: Myocardial infarction in last year
medcode	strat_ASCVD	299805019	Other chronic ischaemic heart disease NOS
medcode	strat_ASCVD	299718016	Other acute myocardial infarction
medcode	strat_ASCVD	98087016	Angina decubitus
medcode	strat_ASCVD	1654891000000110	Coronary angioplasty planned
medcode	strat_ASCVD	1550991000000116	Coronary artery bypass graft operation planned
medcode	strat_ASCVD	4005601000006116	Calcific coronary arteriosclerosis
medcode	strat_ASCVD	394541000006112	[X]Ischaemic heart diseases
medcode	strat_ASCVD	89332015	Atherosclerotic heart disease
medcode	strat_ASCVD	3600701000006114	Coronary artery atheroma
medcode	strat_ASCVD	2115181000000110	Coronary microvascular disease
medcode	strat_ASCVD	13930051000006117	Dressler's syndrome
medcode	strat_ASCVD	8453031000006117	Haemorrhagic stroke
medcode	strat_ASCVD	5011131000006112	Posterior cerebral circulation infarction
medcode	strat_ASCVD	5582311000006110	Occipital cerebral infarction
medcode	strat_ASCVD	294656010	Arteriosclerotic dementia NOS
medcode	strat_ASCVD	8044481000006118	Ischaemic stroke without coma
medcode	strat_ASCVD	300322016	Cerebral infarction due to embolism of cerebral arteries
medcode	strat_ASCVD	300363010	Anterior cerebral artery syndrome
medcode	strat_ASCVD	300943012	Cerebral artery occlusion
medcode	strat_ASCVD	345655015	Pure motor lacunar syndrome
medcode	strat_ASCVD	106392017	Basilar artery syndrome
medcode	strat_ASCVD	4775971000006114	Angina
medcode	strat_ASCVD	219521000000119	Attack - heart
medcode	strat_ASCVD	459487012	Refractory angina
medcode	strat_ASCVD	482811000006113	Angina at rest
medcode	strat_ASCVD	2609111000000119	Non-obstructive coronary atherosclerosis
medcode	strat_ASCVD	5887611000006117	Exercise-induced angina
medcode	strat_ASCVD	458410010	Post infarct angina
medcode	strat_ASCVD	459488019	Transient myocardial ischaemia
medcode	strat_ASCVD	6651391000006114	NSTEMI - Non-ST segment elevation MI
medcode	strat_ASCVD	2536393012	Arteriosclerotic heart disease
medcode	strat_ASCVD	300510018	Other specified peripheral vascular disease
medcode	strat_ASCVD	1715241000006112	Vascular claudication
medcode	strat_ASCVD	2377871000000112	Ischaemic foot pain at rest
medcode	strat_ASCVD	542261000006114	Cerebral infarction due to occlusion of precerebral artery
medcode	strat_ASCVD	9912271000006112	Cerebellar stroke
medcode	strat_ASCVD	163261000006119	Right sided intracerebral haemorrhage, unspecified
medcode	strat_ASCVD	300313017	Cerebral infarction due to embolism of precerebral arteries
medcode	strat_ASCVD	345675012	Lobar cerebral haemorrhage
medcode	strat_ASCVD	496232015	Internal capsule haemorrhage
medcode	strat_ASCVD	5011051000006116	Total anterior cerebral circulation infarction
medcode	strat_ASCVD	300939013	Cerebral haemorrhage
medcode	strat_ASCVD	748941000006115	Left sided intracerebral haemorrhage, unspecified
