code_type	code_group	code	term
ICD	strat_ASCVD_ICD	I20	Angina pectoris
ICD	strat_ASCVD_ICD	I20.0	Unstable angina
ICD	strat_ASCVD_ICD	I20.1	Angina pectoris with documented spasm
ICD	strat_ASCVD_ICD	I20.8	Other forms of angina pectoris
ICD	strat_ASCVD_ICD	I20.9	"Angina pectoris, unspecified"
ICD	strat_ASCVD_ICD	I21	Acute myocardial infarction
ICD	strat_ASCVD_ICD	I21.0	Acute transmural myocardial infarction of anterior wall
ICD	strat_ASCVD_ICD	I21.1	Acute transmural myocardial infarction of inferior wall
ICD	strat_ASCVD_ICD	I21.2	Acute transmural myocardial infarction of other sites
ICD	strat_ASCVD_ICD	I21.3	Acute transmural myocardial infarction of unspecified site
ICD	strat_ASCVD_ICD	I21.4	Acute subendocardial myocardial infarction
ICD	strat_ASCVD_ICD	I21.9	"Acute myocardial infarction, unspecified"
ICD	strat_ASCVD_ICD	I22	Subsequent myocardial infarction
ICD	strat_ASCVD_ICD	I22.0	Subsequent myocardial infarction of anterior wall
ICD	strat_ASCVD_ICD	I22.1	Subsequent myocardial infarction of inferior wall
ICD	strat_ASCVD_ICD	I22.8	Subsequent myocardial infarction of other sites
ICD	strat_ASCVD_ICD	I22.9	Subsequent myocardial infarction of unspecified site
ICD	strat_ASCVD_ICD	I23	Certain current complications following acute myocardial infarction
ICD	strat_ASCVD_ICD	I23.0	Haemopericardium as current complication following acute myocardial infarction
ICD	strat_ASCVD_ICD	I23.1	Atrial septal defect as current complication following acute myocardial infarction
ICD	strat_ASCVD_ICD	I23.2	Ventricular septal defect as current complication following acute myocardial infarction
ICD	strat_ASCVD_ICD	I23.3	Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
ICD	strat_ASCVD_ICD	I23.4	Rupture of chordae tendineae as current complication following acute myocardial infarction
ICD	strat_ASCVD_ICD	I23.5	Rupture of papillary muscle as current complication following acute myocardial infarction
ICD	strat_ASCVD_ICD	I23.6	"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
ICD	strat_ASCVD_ICD	I23.8	Other current complications following acute myocardial infarction
ICD	strat_ASCVD_ICD	I24	Other acute ischaemic heart diseases
ICD	strat_ASCVD_ICD	I24.0	Coronary thrombosis not resulting in myocardial infarction
ICD	strat_ASCVD_ICD	I24.1	Dressler syndrome
ICD	strat_ASCVD_ICD	I24.8	Other forms of acute ischaemic heart disease
ICD	strat_ASCVD_ICD	I24.9	"Acute ischaemic heart disease, unspecified"
ICD	strat_ASCVD_ICD	I25	Chronic ischaemic heart disease
ICD	strat_ASCVD_ICD	I25.0	"Atherosclerotic cardiovascular disease, so describe"
ICD	strat_ASCVD_ICD	I25.1	Atherosclerotic heart disease
ICD	strat_ASCVD_ICD	I25.2	Old myocardial infarction
