code_type	code_group	code	term
OPCS	strat_ASCVD_OPCS	K40	Saphenous vein graft replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K401	Saphenous vein graft replacement of one coronary artery
OPCS	strat_ASCVD_OPCS	K402	Saphenous vein graft replacement of two coronary arteries
OPCS	strat_ASCVD_OPCS	K403	Saphenous vein graft replacement of three coronary arteries
OPCS	strat_ASCVD_OPCS	K404	Saphenous vein graft replacement of four or more coronary arteries
OPCS	strat_ASCVD_OPCS	K408	Other specified saphenous vein graft replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K409	Unspecified saphenous vein graft replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K41	Other autograft replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K411	Autograft replacement of one coronary artery NEC
OPCS	strat_ASCVD_OPCS	K412	Autograft replacement of two coronary arteries NEC
OPCS	strat_ASCVD_OPCS	K413	Autograft replacement of three coronary arteries NEC
OPCS	strat_ASCVD_OPCS	K414	Autograft replacement of four or more coronary arteries NEC
OPCS	strat_ASCVD_OPCS	K418	Other specified other autograft replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K419	Unspecified other autograft replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K42	Allograft replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K421	Allograft replacement of one coronary artery
OPCS	strat_ASCVD_OPCS	K422	Allograft replacement of two coronary arteries
OPCS	strat_ASCVD_OPCS	K423	Allograft replacement of three coronary arteries
OPCS	strat_ASCVD_OPCS	K424	Allograft replacement of four or more coronary arteries
OPCS	strat_ASCVD_OPCS	K428	Other specified allograft replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K429	Unspecified allograft replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K43	Prosthetic replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K431	Prosthetic replacement of one coronary artery
OPCS	strat_ASCVD_OPCS	K432	Prosthetic replacement of two coronary arteries
OPCS	strat_ASCVD_OPCS	K433	Prosthetic replacement of three coronary arteries
OPCS	strat_ASCVD_OPCS	K434	Prosthetic replacement of four or more coronary arteries
OPCS	strat_ASCVD_OPCS	K438	Other specified prosthetic replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K439	Unspecified prosthetic replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K44	Other replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K441	Replacement of coronary arteries using multiple methods
OPCS	strat_ASCVD_OPCS	K442	Revision of replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K448	Other specified other replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K449	Unspecified other replacement of coronary artery
OPCS	strat_ASCVD_OPCS	K45	Connection of thoracic artery to coronary artery
OPCS	strat_ASCVD_OPCS	K451	Double anastomosis of mammary arteries to coronary arteries
OPCS	strat_ASCVD_OPCS	K452	Double anastomosis of thoracic arteries to coronary arteries NEC
OPCS	strat_ASCVD_OPCS	K453	Anastomosis of mammary artery to left anterior descending coronary artery
OPCS	strat_ASCVD_OPCS	K454	Anastomosis of mammary artery to coronary artery NEC
OPCS	strat_ASCVD_OPCS	K455	Anastomosis of thoracic artery to coronary artery NEC
OPCS	strat_ASCVD_OPCS	K456	Revision of connection of thoracic artery to coronary artery
OPCS	strat_ASCVD_OPCS	K458	Other specified connection of thoracic artery to coronary artery
OPCS	strat_ASCVD_OPCS	K459	Unspecified connection of thoracic artery to coronary artery
OPCS	strat_ASCVD_OPCS	K46	Other bypass of coronary artery
OPCS	strat_ASCVD_OPCS	K461	Double implantation of mammary arteries into heart
OPCS	strat_ASCVD_OPCS	K462	Double implantation of thoracic arteries into heart NEC
OPCS	strat_ASCVD_OPCS	K463	Implantation of mammary artery into heart NEC
OPCS	strat_ASCVD_OPCS	K464	Implantation of thoracic artery into heart NEC
OPCS	strat_ASCVD_OPCS	K465	Revision of implantation of thoracic artery into heart
OPCS	strat_ASCVD_OPCS	K468	Other specified other bypass of coronary artery
OPCS	strat_ASCVD_OPCS	K469	Unspecified other bypass of coronary artery
OPCS	strat_ASCVD_OPCS	K49	Transluminal balloon angioplasty of coronary artery
OPCS	strat_ASCVD_OPCS	K491	Percutaneous transluminal balloon angioplasty of one coronary artery
OPCS	strat_ASCVD_OPCS	K492	Percutaneous transluminal balloon angioplasty of multiple coronary arteries
OPCS	strat_ASCVD_OPCS	K493	Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery
OPCS	strat_ASCVD_OPCS	K494	Percutaneous transluminal cutting balloon angioplasty of coronary artery
OPCS	strat_ASCVD_OPCS	K498	Other specified transluminal balloon angioplasty of coronary artery
OPCS	strat_ASCVD_OPCS	K499	Unspecified transluminal balloon angioplasty of coronary artery
OPCS	strat_ASCVD_OPCS	K50	Other therapeutic transluminal operations on coronary artery
OPCS	strat_ASCVD_OPCS	K501	Percutaneous transluminal laser coronary angioplasty
OPCS	strat_ASCVD_OPCS	K504	Percutaneous transluminal atherectomy of coronary artery
OPCS	strat_ASCVD_OPCS	K508	Other specified other therapeutic transluminal operations on coronary artery
OPCS	strat_ASCVD_OPCS	K509	Unspecified other therapeutic transluminal operations on coronary artery
OPCS	strat_ASCVD_OPCS	K75	Percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery
OPCS	strat_ASCVD_OPCS	K751	Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery
OPCS	strat_ASCVD_OPCS	K752	Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug-eluting stents into coronary artery
OPCS	strat_ASCVD_OPCS	K753	Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery
OPCS	strat_ASCVD_OPCS	K754	Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC
